timestamp,open,high,low,close,volume
3/1/2025,140.01,144.9,139.73,144.47,229322478
2/1/2025,136,138.88,134.63,138.31,198247166
31/12/2024,138.03,138.07,133.83,134.29,155659211
30/12/2024,134.83,140.27,134.02,137.49,167734700
27/12/2024,138.55,139.02,134.71,137.01,170582603
26/12/2024,139.7,140.85,137.73,139.93,116519090
24/12/2024,140,141.9,138.65,140.22,105156989
23/12/2024,136.28,139.79,135.1201,139.67,176053506
20/12/2024,129.81,135.28,128.22,134.7,306528553
19/12/2024,131.76,134.03,129.55,130.68,209719210
18/12/2024,133.86,136.7,128.28,128.91,277444533
17/12/2024,129.09,131.59,126.86,130.39,259410263
16/12/2024,134.18,134.4,130.42,132,237951130
13/12/2024,138.94,139.6,132.54,134.25,231514881
12/12/2024,137.08,138.44,135.8,137.34,159211393
11/12/2024,137.36,140.17,135.21,139.31,184905192
10/12/2024,139.01,141.82,133.79,135.07,210020888
9/12/2024,138.97,139.95,137.13,138.81,189308625
6/12/2024,144.6,145.7,141.31,142.44,188505573
5/12/2024,145.11,146.54,143.95,145.06,172621180
4/12/2024,141.995,145.79,140.29,145.14,231224295
3/12/2024,138.26,140.54,137.95,140.26,164413965
2/12/2024,138.83,140.45,137.825,138.63,171682777
29/11/2024,136.78,139.35,136.05,138.25,141863156
27/11/2024,135.01,137.22,131.8,135.34,226370912
26/11/2024,137.7,139.3,135.67,136.92,190287654
25/11/2024,141.99,142.05,135.82,136.02,344941875
22/11/2024,145.93,147.16,141.1,141.95,236406154
21/11/2024,149.35,152.89,140.7,146.67,400946570
20/11/2024,147.41,147.56,142.73,145.89,309871654
19/11/2024,141.32,147.13,140.99,147.01,227834912
18/11/2024,139.5,141.55,137.15,140.15,221865993
15/11/2024,144.87,145.24,140.08,141.98,250132869
14/11/2024,147.64,149,145.55,146.76,194463301
13/11/2024,149.07,149.33,145.9,146.27,191903267
12/11/2024,146.78,149.65,146.01,148.29,198634738
11/11/2024,148.68,148.85,143.57,145.26,182325620
8/11/2024,148.77,149.77,146.26,147.63,175665830
7/11/2024,146.39,148.93,146.17,148.88,207323303
6/11/2024,142.96,146.49,141.96,145.61,242043945
5/11/2024,137.45,140.3701,137.33,139.91,160537373
4/11/2024,137.21,138.96,135.57,136.05,187528173
1/11/2024,134.7,137.31,134.57,135.4,207127838
31/10/2024,137.6,137.61,132.1106,132.76,270039641
30/10/2024,139.54,140.33,136.81,139.335,179418082
29/10/2024,140.285,142.2598,138.9,141.25,157593634
28/10/2024,143,143.14,140.05,140.52,173586745
25/10/2024,140.93,144.13,140.8,141.54,205122109
24/10/2024,140.82,141.35,138.46,140.41,172354888
23/10/2024,142.03,142.43,137.46,139.56,285930038
22/10/2024,142.91,144.42,141.78,143.59,226311589
21/10/2024,138.13,143.71,138,143.71,264554514
18/10/2024,138.665,138.9,137.28,138,176090184
17/10/2024,139.34,140.89,136.87,136.93,306435921
16/10/2024,133.98,136.62,131.58,135.72,264879720
15/10/2024,137.87,138.57,128.74,131.6,377831021
14/10/2024,136.47,139.6,136.3,138.07,232347668
11/10/2024,134.01,135.78,133.66,134.8,170209474
10/10/2024,131.91,135,131,134.81,242311337
9/10/2024,134.11,134.52,131.38,132.65,246191612
8/10/2024,130.26,133.48,129.42,132.89,285722485
7/10/2024,124.99,130.64,124.95,127.72,346250233
4/10/2024,124.94,125.04,121.83,124.92,244465552
3/10/2024,120.92,124.36,120.3401,122.85,277117973
2/10/2024,116.44,119.38,115.14,118.85,221845887
1/10/2024,121.765,122.4351,115.79,117,302094485
30/9/2024,118.31,121.5,118.15,121.44,227053651
27/9/2024,123.97,124.03,119.26,121.4,271009175
26/9/2024,126.8,127.665,121.8,124.04,302582868
